symptoms,specialist
Fatigue or weakness,Nephrologist
Shortness of breath,Nephrologist
Itching or rash,Nephrologist
Nausea or vomiting,Nephrologist
Chronic cough,Pulmonologist
Shortness of breath,Pulmonologist
Wheezing or chest tightness,Pulmonologist
Chronic mucus production (sputum),Pulmonologist
Chest pain,Pulmonologist
Fatigue or weakness,Pulmonologist
Recurrent respiratory infections,Pulmonologist
Difficulty breathing with exertion,Pulmonologist
Coughing up blood (hemoptysis),Pulmonologist
Cyanosis (bluish coloration of lips or nails),Pulmonologist
